
This was created by typing Get-Process | Out-File -FilePath .\Processes.txt. It is from the lab on page 39.

 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     11     1.63      11.48       0.00   10320   0 Aac3572DramHal_x86
     13     2.28      12.65       0.14    7804   1 Aac3572MbHal_x86
     13     2.49      12.61       0.00   10200   0 Aac3572MbHal_x86
     10     1.88      12.31       0.00    8620   0 AacKingstonDramHal_x64
     12     1.76      11.53       0.00    2384   0 AacKingstonDramHal_x86
     40    53.20      12.87       6.02   11804   1 AcPowerNotification
     27    23.46      49.83       8.06   14784   1 AdobeCollabSync
     20     7.31      27.57       0.05   20012   1 AdobeCollabSync
     14     4.07      18.11       0.00    9812   0 AggregatorHost
     21    12.82      47.42       0.48   24268   1 AppActions
     30    58.64      60.63       0.44   23272   1 ApplicationFrameHost
     55    62.18      97.66       0.00    4644   0 ArmouryCrate.Service
     57    44.60      90.70      28.09   12140   1 ArmouryCrate.UserSessionHelper
     22     9.92       0.86       0.11    2140   1 ArmourySocketServer
     24    15.70       1.18       0.47    7472   1 ArmourySwAgent
     10     1.80       8.04       0.00    4628   0 armsvc
     11     3.04      12.73       0.00    2500   0 AsusCertService
     20     3.70      18.18       0.00    4756   0 AsusFanControlService
     33    30.86       6.55       0.83    2312   1 asus_framework
     27    25.97       6.32       0.20    9864   1 asus_framework
     35    49.52       6.67       1.14   10564   1 asus_framework
    103   104.32      19.21       2.31   19100   1 asus_framework
     22    15.51      10.13       0.44   19260   1 asus_framework
     37    31.45       6.74       0.48   19332   1 asus_framework
     17     7.75      20.71       0.00    4684   0 atkexComSvc
     12     7.29      16.61       9.11   22152   0 audiodg
     20    23.62      60.45       0.25   24460   1 backgroundTaskHost
     37   194.80     117.62       3.44    1380   1 ChatGPT
     52   129.10     176.68      10.53    9076   1 ChatGPT
     27    18.24      60.41       1.53   10812   1 ChatGPT
     12    10.67      34.91       0.02   21920   1 ChatGPT
     34   139.14     216.53       7.09   22616   1 ChatGPT
     32    79.76     130.41       0.92   16560   1 chrome
     35    52.64      95.00       0.47   18320   1 chrome
     31   104.70     154.99       1.73   21384   1 chrome
     19    18.25      32.96       0.08   21916   1 chrome
     23    33.49      77.96       0.31   22712   1 chrome
     24    25.89      52.85       0.34   24072   1 chrome
     50   391.93     412.35     160.22   25424   1 chrome
     23    23.96      63.37       0.16   26164   1 chrome
     54   106.13     148.57       2.30   26512   1 chrome
    100   245.24     383.09      83.75   26916   1 chrome
     11     2.43       9.64       0.02   27024   1 chrome
     31    78.40     144.77       2.88   27032   1 chrome
     33   134.24     183.84       2.06   27036   1 chrome
     70   315.55     286.02     117.98   27228   1 chrome
     47    30.40      63.28      36.72   27248   1 chrome
     15    13.79      24.69       0.55   27400   1 chrome
     49   470.46     536.07     156.72   27548   1 chrome
     25    41.61      69.98       6.94   27568   1 chrome
     29    71.09     104.11       3.42   27584   1 chrome
     26    52.90      88.36       0.66   27672   1 chrome
     31    61.80      52.94       0.38   27844   1 chrome
     18     8.96      23.20       8.11   28192   1 chrome
     36   124.15     192.66      29.83   28996   1 chrome
     27    70.07     112.93       0.95   29000   1 chrome
     31   122.03     178.50       3.27   29032   1 chrome
     26   124.43     155.24       2.50   29788   1 chrome
      6     1.24       5.20       0.02    3996   1 chrome-native-host
     34   156.83     142.28      17.17   13924   1 claude
     22    27.52      83.68       0.19   18968   1 claude
     36   227.97     308.68      48.62   22984   1 claude
     20    17.85      67.25       3.19   25888   1 claude
     51   135.17     173.12      15.20   28576   1 claude
     12    10.86      32.79       0.02   29124   1 claude
     23    31.53      86.82       0.14   29292   1 claude
      5     1.90       4.76       0.00    7496   1 cmd
      5     1.90       4.78       0.00   16208   1 cmd
     29    82.29     111.70       1.52    2640   1 Code
     56   102.94     136.95      11.05    4184   1 Code
     35   145.13     115.66       9.16    6076   1 Code
     24    14.05      49.16       0.48   21208   1 Code
     12    10.39      32.16       0.05   23584   1 Code
     46   302.54     337.14       4.97   23688   1 Code
     36    97.58     129.87       4.39   25132   1 Code
     40   192.66     254.81      26.08   26732   1 Code
     30    83.08     114.23       2.23   29268   1 Code
     12     7.20      13.27       0.08   22936   1 CodeSetup-stable-0870c2a0c7c0564e7631bfed2675573a94ba4455
     25    26.21      48.04      15.14   25020   1 CodeSetup-stable-0870c2a0c7c0564e7631bfed2675573a94ba4455.tmp
      8     1.25       7.16       0.03   12148   1 conhost
      9     1.35       7.81       0.00   22272   0 conhost
     11     1.56       9.71       0.06   23964   1 conhost
     10     1.42       8.33       0.23   25860   1 conhost
     11     1.58       9.74       0.00   26440   1 conhost
     34    36.41      62.57       0.00    5320   0 CorsairCpuIdService
     14     2.79      14.98       0.00    4600   0 CorsairDeviceControlService
     17    29.48      30.55       0.00    6696   0 cowork-svc
     10     1.68       8.92       0.00   11136   1 crashpad_handler
      9     1.48       7.58       0.00   11548   0 crashpad_handler
      9     1.48       7.59       0.00   12996   0 crashpad_handler
      9     1.48       7.62       0.00   18244   0 crashpad_handler
     31    58.53      68.76       0.86   12584   1 CrossDeviceResume
    106    45.16     141.66      13.25   16300   1 CrossDeviceService
     25    42.65     118.53       0.30    4964   1 CrosshairX
     21    16.29      75.36       0.38   12384   1 CrosshairX
     27   141.47     222.27       6.61   14660   1 CrosshairX
     13    11.35      41.45       0.02   16104   1 CrosshairX
     52   140.22     190.37      60.55   18508   1 CrosshairX
     32   124.12     109.74       2.58   20836   1 CrosshairX
     17    12.20      79.85       0.33   21440   1 CrosshairX
     33     3.05       8.50       0.00     852   0 csrss
     47     3.85       8.57       0.00    1048   1 csrss
     22     7.55      36.52       3.39    5816   1 ctfmon
     21     5.41      20.97       0.00    5512   0 dasHost
     11     2.11      12.20       0.00    6636   0 dasHost
     16    11.35      87.65       0.19    7680   1 Discord
     40   185.11     167.23       3.92    7840   1 Discord
     21    16.34      58.75       1.95    9488   1 Discord
     13    10.64      35.99       0.06   11320   1 Discord
     48   121.56     164.80       9.16   13068   1 Discord
    100   373.96     444.35      44.41   22420   1 Discord
     18     3.50      15.28       0.00    4528   0 dllhost
     13     6.03      17.72       0.00    7400   0 dllhost
     10     1.98      16.17       0.05   18312   1 dllhost
     12     2.90      20.64       0.08   19932   1 dllhost
     10     1.94      15.99       0.02   23712   1 dllhost
     11     2.32      17.50       0.08   24488   1 dllhost
     11     2.09      13.32       0.03   29736   1 dllhost
     11     4.11      14.38       0.00    4416   0 DtsHPXV2Apo4Service
     82   330.18     132.23       0.00    1708   1 dwm
     29   136.05     143.04       7.83   22196   1 esrv
     37   225.23     225.62       0.00   11680   0 esrv_svc
    163   312.57     446.86      50.84   13056   1 explorer
     89   126.21     171.21       0.00    5168   0 ExpressVPN.AppService
     61    48.56      82.86       2.23   25348   1 ExpressVPN.BrowserHelper
     68    51.36      89.86       0.00    4692   0 ExpressVPN.SystemService
     59    44.28      80.86       0.00    4668   0 ExpressVPN.VpnService
     64    42.88      74.77       4.17   12408   1 ExpressVPNNotificationService
     12     1.83      11.77       0.00    9144   0 extensionCardHal_x86
     17    10.07      32.12       0.44   30036   1 FileCoAuth
     18     4.78      27.23       0.00    9572   0 FileSyncHelper
      8     1.93       5.66       0.00    1456   0 fontdrvhost
     11     4.59      11.42       0.00    1464   1 fontdrvhost
     12     1.85       9.15       0.00    4660   0 GameSDK
