
Name                           Value
----                           -----
__COMPAT_LAYER                 Installer
_OLD_VIRTUAL_PATH              C:\Program Files\WindowsApps\Microsoft.PowerShell_7.5.5.0_x64__8wekyb3d8bbwe;c:\Users\David\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\debugCommand;c:\Users\David\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\copilotCli;C:\Program Files (x86)\VMware\VMware Workstation\bin\;C:\Program Files\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\dotnet\;C:\Program Files\NVIDIA Corporation\NVIDIA app\NvDLISR;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\nodejs\;C:\Program Files\Git\cmd;C:\Program Files\PuTTY\;C:\Program Files\Amazon\AWSCLIV2\;C:\Users\David\AppData\Local\Programs\Python\Launcher\;C:\Users\David\AppData\Local\Microsoft\WindowsApps;C:\Users\David\OneDrive\Desktop\Script Repository\Python;C:\Users\David\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\David\AppData\Roaming\npm;C:\Users\David\AppData\Local\Programs\Python\Python313\Scriptsc:\Users\David\.vscode\extensions\ms-python.debugpy-2025.18.0-win32-x64\bundled\scripts\noConfigScripts
ACSetupSvcPort                 23210
ACSvcPort                      17532
ALLUSERSPROFILE                C:\ProgramData
APPDATA                        C:\Users\David\AppData\Roaming
BUNDLED_DEBUGPY_PATH           c:\Users\David\.vscode\extensions\ms-python.debugpy-2025.18.0-win32-x64\bundled\libs\debugpy
CHROME_CRASHPAD_PIPE_NAME      \\.\pipe\crashpad_40576_CXSXWIPHJBHXRXGY
CLAUDE_CODE_SSE_PORT           42198
COLORTERM                      truecolor
CommonProgramFiles             C:\Program Files\Common Files
CommonProgramFiles(x86)        C:\Program Files (x86)\Common Files
CommonProgramW6432             C:\Program Files\Common Files
COMPUTERNAME                   MITCH-GAMING
ComSpec                        C:\WINDOWS\system32\cmd.exe
DriverData                     C:\Windows\System32\Drivers\DriverData
GIT_ASKPASS                    c:\Users\David\AppData\Roaming\Code\User\globalStorage\vscode.git\askpass\493597c785d4c5cb\askpass.sh
HOMEDRIVE                      C:
HOMEPATH                       \Users\David
LANG                           en_US.UTF-8
LOCALAPPDATA                   C:\Users\David\AppData\Local
LOGONSERVER                    \\MITCH-GAMING
NUMBER_OF_PROCESSORS           12
OneDrive                       C:\Users\David\OneDrive
OneDriveConsumer               C:\Users\David\OneDrive
OS                             Windows_NT
